,Title,Year,Rating,Vote,Metascore,Budget,Certificate,Runtime,Genre,Overview,Artist,Director
949,Get Smart,(2008),6.5,"222,824",54        ,$130.32M,PG-13,110 min,"Action, Adventure, Comedy","
Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.","['Steve Carell', 'Anne Hathaway', 'Alan Arkin', 'Dwayne Johnson']",Peter Segal
950,Match Point,(2005),7.6,"222,641",72        ,$23.09M,R,124 min,"Drama, Romance, Thriller","
At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.","['Scarlett Johansson', 'Jonathan Rhys Meyers', 'Emily Mortimer', 'Matthew Goode']",Woody Allen
951,The Evil Dead,(1981),7.4,"222,135",71        ,$2.40M,NC-17,85 min,Horror,"
Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.","['Bruce Campbell', 'Ellen Sandweiss', 'Richard DeManincor', 'Betsy Baker']",Sam Raimi
952,Anger Management,(2003),6.2,"221,613",52        ,$135.65M,PG-13,106 min,Comedy,"
Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.","['Jack Nicholson', 'Adam Sandler', 'Marisa Tomei', 'Luis Guzmán']",Peter Segal
953,Let the Right One In,(2008),7.9,"221,570",82        ,$2.12M,R,114 min,"Drama, Fantasy, Horror","
Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","['Kåre Hedebrant', 'Lina Leandersson', 'Per Ragnar', 'Henrik Dahl']",Tomas Alfredson
954,Misery,(1990),7.8,"221,433",75        ,$61.28M,R,107 min,"Drama, Thriller","
After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.","['James Caan', 'Kathy Bates', 'Richard Farnsworth', 'Frances Sternhagen']",Rob Reiner
955,Rocky II,(1979),7.3,"221,317",61        ,-,PG,119 min,"Drama, Sport","
Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch.","['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",Sylvester Stallone
956,You've Got Mail,(1998),6.7,"221,012",57        ,$115.82M,PG,119 min,"Comedy, Drama, Romance","
Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet, both blissfully unaware that he's trying to put her out of business.","['Tom Hanks', 'Meg Ryan', 'Greg Kinnear', 'Parker Posey']",Nora Ephron
957,Butch Cassidy and the Sundance Kid,(1969),8.0,"220,969",66        ,$102.31M,PG,110 min,"Biography, Crime, Drama","
Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","['Paul Newman', 'Robert Redford', 'Katharine Ross', 'Strother Martin']",George Roy Hill
958,Ghost in the Shell,(2017),6.3,"220,950",52        ,$40.56M,PG-13,107 min,"Action, Crime, Drama","
In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.","['Scarlett Johansson', 'Pilou Asbæk', 'Takeshi Kitano', 'Juliette Binoche']",Rupert Sanders
